v_wind[m/s],max_height[m]
0.00,inf
0.50,783.31
1.00,389.16
1.50,257.78
2.00,192.08
2.50,152.67
3.00,126.39
3.50,107.62
4.00,93.55
4.50,82.60
5.00,73.84
5.50,66.67
6.00,60.70
6.50,55.65
7.00,51.32
7.50,47.56
8.00,44.28
8.50,41.38
9.00,38.80
9.50,36.50
10.00,34.42
10.50,32.55
11.00,30.84
11.50,29.28
12.00,27.86
12.50,26.54
13.00,25.33
13.50,24.21
14.00,23.17
14.50,22.20
15.00,21.29
15.50,20.44
16.00,19.65
16.50,18.91
17.00,18.21
17.50,17.55
18.00,16.92
18.50,16.33
19.00,15.78
19.50,15.25
20.00,14.75
